datetime,average
2013-12-28 17:35:50,714.89
2013-12-28 17:37:48,715.38
2013-12-28 17:39:50,714.25
2013-12-28 17:41:47,719.65
2013-12-28 17:43:46,719.84
2013-12-28 17:44:47,721.37
2013-12-28 17:46:48,726.2
2013-12-28 17:48:50,724.87
2013-12-28 17:50:47,723.17
2013-12-28 17:51:49,719.54
2013-12-28 17:53:50,722.53
2013-12-28 17:55:48,719.95
2013-12-28 17:57:48,721.08
2013-12-28 17:59:48,719.63
2013-12-28 18:00:55,715.21
2013-12-28 18:01:56,713.87
2013-12-28 18:03:52,709.4
2013-12-28 18:04:54,708.01
2013-12-28 18:06:56,710.64
2013-12-28 18:08:52,706.1
2013-12-28 18:10:55,705.82
2013-12-28 18:12:49,708.71
2013-12-28 18:13:51,705.52
2013-12-28 18:15:48,709.01
2013-12-28 18:16:51,711.46
2013-12-28 18:18:50,711.74
2013-12-28 18:20:50,714.92
2013-12-28 18:21:58,713.33
2013-12-28 18:23:50,716.49
2013-12-28 18:24:52,717.7
2013-12-28 18:26:50,719.07
2013-12-28 18:27:51,719.7
2013-12-28 18:29:04,720.2
2013-12-28 18:31:06,720.41
2013-12-28 18:32:10,713.72
2013-12-28 18:34:08,711.29
2013-12-28 18:36:04,711.39
2013-12-28 18:38:03,710.5
2013-12-28 18:40:06,711.45
2013-12-28 18:42:04,713.72
2013-12-28 18:44:05,711.98
2013-12-28 18:46:05,714.89
2013-12-28 18:48:06,715.28
2013-12-28 18:50:03,713.96
2013-12-28 18:52:03,714.98
2013-12-28 18:54:08,717.16
2013-12-28 18:56:01,718.28
2013-12-28 18:57:04,719.08
2013-12-28 18:58:05,718.96
2013-12-28 18:59:06,718.3
2013-12-28 19:01:02,716.14
2013-12-28 19:02:06,717.0
2013-12-28 19:04:05,716.52
2013-12-28 19:06:02,716.38
2013-12-28 19:07:03,716.62
2013-12-28 19:08:05,717.16
2013-12-28 19:10:05,716.66
2013-12-28 19:12:05,718.0
2013-12-28 19:14:02,718.15
2013-12-28 19:16:02,719.61
2013-12-28 19:18:05,720.19
2013-12-28 19:20:03,721.39
2013-12-28 19:21:05,722.01
2013-12-28 19:22:08,722.4
2013-12-28 19:24:04,723.34
2013-12-28 19:26:03,724.14
2013-12-28 19:27:06,724.74
2013-12-28 19:29:07,724.83
2013-12-28 19:31:02,724.22
2013-12-28 19:32:04,722.91
2013-12-28 19:34:04,724.4
2013-12-28 19:36:03,724.97
2013-12-28 19:38:07,728.73
2013-12-28 19:40:11,731.16
2013-12-28 19:42:09,731.25
2013-12-28 19:44:07,731.58
2013-12-28 19:46:09,733.06
2013-12-28 19:48:06,732.16
2013-12-28 19:49:10,730.44
2013-12-28 19:51:10,727.7
2013-12-28 19:53:07,723.53
2013-12-28 19:55:14,725.07
2013-12-28 19:57:05,725.06
2013-12-28 19:59:05,724.83
2013-12-28 20:01:07,721.01
2013-12-28 20:02:09,721.9
2013-12-28 20:04:08,722.53
2013-12-28 20:05:09,721.04
2013-12-28 20:07:05,722.24
2013-12-28 20:09:06,723.16
2013-12-28 20:11:03,722.3
2013-12-28 20:13:05,723.08
2013-12-28 20:14:06,721.98
2013-12-28 20:16:03,723.6
2013-12-28 20:18:03,723.67
2013-12-28 20:19:05,721.38
2013-12-28 20:21:04,721.39
2013-12-28 20:22:05,722.77
2013-12-28 20:24:07,724.16
2013-12-28 20:26:05,720.68
2013-12-28 20:28:06,721.75
2013-12-28 20:30:20,721.69
2013-12-28 20:32:18,722.41
2013-12-28 20:33:19,721.92
2013-12-28 20:34:22,722.55
2013-12-28 20:36:19,722.78
2013-12-28 20:37:22,722.9
2013-12-28 20:39:19,721.68
2013-12-28 20:41:20,721.78
2013-12-28 20:43:19,722.27
2013-12-28 20:45:18,723.69
2013-12-28 20:47:21,721.02
2013-12-28 20:49:17,723.01
2013-12-28 20:50:19,722.81
2013-12-28 20:51:20,723.57
2013-12-28 20:52:21,721.84
2013-12-28 20:53:22,722.8
2013-12-28 20:55:19,723.0
2013-12-28 20:56:20,722.97
2013-12-28 20:58:20,725.67
2013-12-28 21:00:19,723.69
2013-12-28 21:01:20,724.29
2013-12-28 21:03:22,723.81
2013-12-28 21:05:21,723.78
2013-12-28 21:07:21,719.94
2013-12-28 21:08:22,724.54
2013-12-28 21:10:20,723.6
